,Unnamed: 0,salet reductions,salet score,reast reductions,reast score,crate reductions,crate score,trace reductions,trace score,slate reductions,slate score,crane reductions,crane score,word1,word2,word3,word4,word5,RepeatN,WordCharacter,salet Topics,reast Topics,crate Topics,trace Topics,slate Topics,crane Topics,salet Description,reast Description,crate Description,trace Description,slate Description,crane Description,salet Attitude,reast Attitude,crate Attitude,trace Attitude,slate Attitude,crane Attitude,Number of reported results,Number in hard mode,1 Try,2 Tries,3 Tries,4 Tries,5 Tries,6 Tries,Above 6 Tries,cluster
0,0,6,2,10,3,30,3,30,3,3.0,2,36,3,18,10,20,12,15,0,7,1,1,0,1,1,1,0,0,0,0,0,1,0.44303843,0.44141603,0.44141603,0.4299089,0.44303843,0.43624184,80630,1362,0.01,0.03,0.23,0.39,0.24,0.09,0.01,0
1,1,15,3,9,4,3,3,3,3,8.0,3,1,2,2,16,0,13,10,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.5011362,0.4588719,101503,1763,0.01,0.05,0.23,0.31,0.24,0.14,0.02,2
2,2,32,3,19,3,6,3,6,3,24.0,3,7,3,6,13,17,6,4,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.46805245,0.4631398,0.4512561,0.4631398,0.4588719,91477,1913,0.01,0.03,0.13,0.27,0.3,0.22,0.04,0
3,3,34,4,23,4,16,3,16,3,24.0,3,20,3,16,19,4,17,24,0,7,2,0,1,2,2,2,0,0,0,0,0,0,0.4631398,0.48569387,0.4344419,0.42814162,0.4631398,0.4588719,107134,2242,0.01,0.04,0.16,0.3,0.3,0.17,0.02,2
4,4,38,4,19,3,8,2,8,2,38.0,4,5,3,3,16,8,13,10,0,12,2,2,1,2,2,2,0,0,0,0,0,0,0.42349446,0.44999126,0.4488398,0.43619344,0.42349446,0.41658968,153880,3017,0.01,0.09,0.35,0.34,0.16,0.05,0.01,2
5,5,17,3,12,2,16,3,16,3,24.0,3,13,3,5,0,21,14,17,0,7,0,1,0,1,1,1,0,0,0,0,0,0,0.440463,0.43897042,0.440463,0.42813227,0.440463,0.43497288,137586,3073,0.01,0.04,0.15,0.26,0.29,0.21,0.04,2
6,6,2,2,14,3,10,3,10,3,10.0,3,12,3,0,1,1,4,24,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.470649,132726,3345,0.01,0.02,0.13,0.29,0.31,0.2,0.03,2
7,7,5,3,11,3,15,3,4,2,9.0,3,6,3,19,0,13,6,24,0,7,2,1,1,1,2,1,0,0,0,0,0,0,0.47820136,0.49898824,0.49898824,0.4777577,0.49898824,0.49070868,169484,3985,0.01,0.04,0.21,0.3,0.24,0.15,0.05,2
8,8,17,3,24,3,5,3,9,3,24.0,3,1,2,15,0,13,8,2,0,3,0,1,0,2,1,1,0,0,0,0,0,0,0.42684838,0.42684838,0.42684838,0.4142214,0.42684838,0.42343962,205880,4655,0.01,0.09,0.35,0.34,0.16,0.05,0.01,3
9,9,1,2,3,2,16,3,16,3,1.0,2,13,3,18,13,11,0,17,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,209609,4955,0.01,0.09,0.32,0.32,0.18,0.07,0.01,3
10,10,4,3,3,3,6,3,6,3,4.0,3,7,3,18,6,8,17,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.49520612,0.43437365,0.4631398,0.4512561,0.49520612,0.4588719,222197,5640,0.01,0.08,0.32,0.32,0.18,0.08,0.02,3
11,11,37,3,19,3,9,3,9,3,37.0,3,7,3,15,16,14,23,24,0,7,2,1,1,2,2,1,0,0,0,0,0,0,0.45702893,0.45702893,0.43649414,0.42214465,0.45702893,0.4332604,220950,6206,0.01,0.02,0.11,0.24,0.31,0.26,0.06,3
12,12,8,3,9,3,17,3,23,3,12.0,3,6,3,15,13,8,13,19,0,7,1,1,1,1,1,1,0,0,0,0,0,0,0.44603086,0.44603086,0.44603086,0.43526524,0.44603086,0.42907512,280622,7094,0.01,0.16,0.37,0.28,0.12,0.04,0.01,3
13,13,8,3,1,2,6,3,4,2,12.0,3,16,3,17,13,1,14,19,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.49085552,0.4512561,0.4631398,0.4588719,243964,6589,0.01,0.08,0.29,0.34,0.2,0.08,0.01,3
14,14,36,3,19,3,1,2,1,2,36.0,3,1,2,15,16,8,2,10,0,3,2,1,0,1,2,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,273727,7409,0.01,0.08,0.3,0.33,0.19,0.07,0.01,3
15,15,37,4,31,4,4,3,4,3,29.0,4,3,3,22,7,13,2,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.45522124,0.45032683,0.45581776,0.44034013,0.45522124,0.4502327,241489,6850,0.01,0.03,0.17,0.33,0.29,0.15,0.03,3
16,16,36,3,19,3,1,2,1,2,36.0,3,1,2,2,16,8,12,15,0,7,1,1,0,1,2,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,269929,7630,0.01,0.05,0.28,0.38,0.2,0.07,0.01,3
17,17,17,3,33,3,30,3,30,3,7.0,3,13,3,10,12,14,11,11,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43203363,0.4631398,0.4512561,0.43203363,0.4588719,258038,8317,0.01,0.01,0.11,0.29,0.33,0.21,0.04,3
18,18,5,3,4,3,16,3,16,3,4.0,3,13,3,18,19,6,0,17,0,7,2,1,1,1,2,2,1,0,0,0,0,0,0.39738593,0.4374761,0.4374761,0.42527074,0.39738593,0.4303008,276404,8708,0.01,0.06,0.25,0.34,0.23,0.09,0.01,3
19,19,15,3,5,3,4,3,3,3,8.0,3,4,3,22,6,0,2,10,0,7,1,1,1,1,1,1,0,0,0,0,0,0,0.4631398,0.46524328,0.46524328,0.4482163,0.5011362,0.45520332,302348,10163,0.01,0.04,0.22,0.37,0.24,0.1,0.02,3
20,20,8,3,9,3,17,3,23,3,12.0,3,6,3,12,13,20,13,19,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.49335417,0.49335417,0.49335417,0.47982502,0.49335417,0.47578222,331844,11451,0.01,0.09,0.29,0.33,0.19,0.07,0.01,3
21,21,33,3,4,3,16,3,16,3,24.0,3,20,3,15,4,17,10,24,0,7,1,1,1,2,1,1,0,0,0,0,0,0,0.4631398,0.4344419,0.4344419,0.42814162,0.4631398,0.4588719,296968,11148,0.01,0.04,0.17,0.3,0.27,0.17,0.04,3
22,22,17,3,32,2,9,3,9,2,6.0,2,3,2,2,13,20,11,3,0,6,1,1,0,1,1,1,0,0,0,0,0,0,0.43211174,0.43203363,0.44896305,0.4221148,0.43203363,0.42487174,313220,11592,0.01,0.07,0.29,0.35,0.2,0.08,0.01,3
23,23,36,3,21,4,9,3,9,3,36.0,3,5,3,22,16,20,13,6,0,12,1,1,1,2,2,1,0,0,0,0,0,0,0.4631398,0.44169223,0.4488398,0.43619344,0.4631398,0.4368818,294687,11524,0.0,0.02,0.18,0.39,0.27,0.12,0.02,3
24,24,3,3,9,3,17,3,23,3,1.0,2,36,3,11,7,6,7,19,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0.4711496,0.4711496,0.4711496,0.45685515,0.4649974,0.46278685,341314,13347,0.01,0.1,0.25,0.27,0.19,0.12,0.05,3
25,25,2,2,1,2,6,3,5,3,1.0,2,24,4,19,6,14,18,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.43969,0.43969,0.49267116,0.4764501,0.43969,0.43689653,351663,13606,0.01,0.13,0.34,0.3,0.15,0.06,0.01,3
26,26,4,2,4,3,17,3,23,3,6.0,2,36,3,12,13,8,18,19,0,3,1,2,1,2,2,2,0,0,0,0,0,0,0.46222457,0.4626031,0.4626031,0.4468941,0.46222457,0.45401382,361908,14205,0.03,0.13,0.32,0.29,0.16,0.07,0.01,3
27,27,5,3,2,2,5,3,5,3,1.0,2,7,3,18,6,0,17,3,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0.42337185,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,358176,14609,0.01,0.07,0.22,0.28,0.25,0.14,0.04,3
28,28,1,2,2,2,6,3,6,3,1.0,2,12,3,15,10,4,0,19,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.47968784,0.46583074,0.4631398,0.470649,359679,14813,0.01,0.1,0.28,0.31,0.19,0.09,0.02,3
29,29,4,2,8,3,13,2,13,3,4.0,2,26,2,0,10,14,5,19,0,10,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43675643,0.4631398,0.4512561,0.4631398,0.4588719,319698,13708,0.01,0.04,0.22,0.36,0.25,0.11,0.02,3
30,30,8,3,10,3,32,3,32,3,3.0,2,39,4,18,9,8,11,11,1,3,0,1,0,1,1,1,0,0,0,0,0,0,0.49267536,0.514403,0.514403,0.49836618,0.5050056,0.5116248,311018,13716,0.01,0.03,0.17,0.33,0.27,0.16,0.03,3
31,31,7,2,22,3,16,3,16,3,2.0,2,20,3,4,10,3,4,17,1,7,0,0,1,1,1,0,0,0,0,0,0,0,0.47458103,0.48569384,0.44919956,0.43918574,0.47458103,0.47365552,288228,13340,0.01,0.03,0.13,0.24,0.3,0.24,0.05,3
32,32,16,4,3,3,3,3,3,3,5.0,2,4,3,5,16,0,12,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.49872226,0.508008,0.508008,0.49360895,0.48483622,0.48446646,336236,15369,0.01,0.1,0.2,0.24,0.24,0.17,0.03,3
33,33,36,3,20,3,13,3,13,3,36.0,3,16,3,7,19,12,14,17,0,7,1,1,0,1,2,1,0,0,0,0,0,0,0.5165299,0.5165299,0.5165299,0.49938706,0.5165299,0.50604177,305372,13846,0.01,0.05,0.22,0.34,0.25,0.11,0.02,3
34,34,1,2,3,3,8,2,8,2,1.0,2,9,2,15,0,20,18,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.46621624,0.46739003,0.46621624,0.45149443,0.46621624,0.4596588,304830,13480,0.01,0.08,0.26,0.32,0.21,0.1,0.02,3
35,35,8,3,23,4,1,2,1,2,3.0,3,1,2,20,10,2,4,17,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0.47458097,0.48569387,0.4631398,0.4512561,0.47458097,0.4588719,278826,10631,0.01,0.04,0.18,0.3,0.28,0.16,0.03,3
36,36,4,3,3,3,1,2,3,3,5.0,3,15,4,20,10,19,17,0,0,3,1,1,0,1,1,2,0,0,0,0,0,0,0.5033505,0.48519015,0.48088259,0.47168097,0.48519015,0.4785118,269885,9310,0.01,0.07,0.23,0.34,0.24,0.1,0.01,3
37,37,36,3,2,2,13,3,13,3,36.0,3,5,3,17,13,1,8,13,0,7,0,0,0,1,2,1,0,0,0,0,0,0,0.48421344,0.48107642,0.48421344,0.4721058,0.48421344,0.47839105,277471,3249,0.01,0.06,0.29,0.34,0.21,0.08,0.01,3
38,38,36,3,35,4,9,3,10,3,36.0,3,5,3,2,23,13,8,2,1,3,1,1,0,1,2,1,0,0,0,0,0,0,0.45736757,0.42716488,0.47508812,0.4175351,0.45736757,0.4502277,261521,10343,0.01,0.06,0.25,0.33,0.22,0.11,0.02,3
39,39,15,3,13,3,1,2,1,2,24.0,3,1,2,0,16,14,12,0,1,7,2,2,1,2,2,2,0,0,0,0,0,0,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719,287836,10343,0.01,0.06,0.25,0.33,0.22,0.11,0.02,3
40,40,3,2,26,4,5,3,11,4,12.0,3,5,3,2,0,20,11,10,0,8,1,1,0,2,1,2,0,0,0,0,0,0,0.4631398,0.488251,0.4631398,0.47262537,0.4631398,0.4588719,289721,10740,0.01,0.04,0.2,0.31,0.26,0.15,0.03,3
41,41,6,2,3,2,8,3,8,3,4.0,2,10,3,18,6,0,10,4,0,16,1,1,0,1,1,1,0,0,0,0,0,0,0.446219,0.446219,0.44571343,0.4324122,0.446219,0.4402334,342003,12767,0.01,0.06,0.16,0.23,0.24,0.21,0.09,3
42,42,32,3,29,3,18,3,18,3,24.0,3,20,3,3,13,3,6,4,1,7,1,1,0,1,1,0,0,0,0,0,0,0,0.44173902,0.43501127,0.44173902,0.4297819,0.44173902,0.4372137,265238,10220,0.01,0.03,0.15,0.29,0.27,0.19,0.07,3
43,43,9,4,12,4,35,5,35,5,6.0,4,39,4,18,21,8,11,11,1,7,0,1,1,1,2,1,0,0,0,0,0,0,0.47403213,0.43145284,0.47790018,0.46368015,0.4705746,0.4442489,282327,11241,0.01,0.01,0.08,0.19,0.31,0.3,0.1,3
44,44,2,2,8,3,2,2,1,2,9.0,3,5,2,19,0,2,8,19,1,17,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43675643,0.4631398,0.4512561,0.4631398,0.4588719,273306,11094,0.01,0.04,0.21,0.32,0.26,0.14,0.03,3
45,45,3,3,9,3,8,3,8,3,13.0,3,20,3,14,18,7,4,17,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.45282704,0.4601522,0.45078394,0.43966407,0.45078394,0.45169723,278731,10887,0.01,0.09,0.26,0.3,0.21,0.1,0.02,3
46,46,12,3,5,3,6,3,4,3,12.0,3,5,3,19,6,14,17,13,0,3,0,1,1,1,1,1,0,0,0,0,0,0,0.48832333,0.44582775,0.46710804,0.42829993,0.44582775,0.43971315,306356,11814,0.01,0.14,0.38,0.3,0.12,0.04,0.0,3
47,47,20,4,11,4,3,3,4,3,11.0,4,9,3,19,16,14,21,4,0,2,1,1,0,1,2,1,0,0,0,0,0,0,0.4926703,0.5110807,0.5082122,0.49221838,0.5110807,0.50174797,277576,11411,0.01,0.05,0.16,0.24,0.25,0.22,0.08,3
48,48,7,3,31,3,20,3,20,3,3.0,2,20,3,1,10,14,10,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.46003148,0.4631398,0.4512561,0.4631398,0.4588719,250674,10405,0.01,0.06,0.21,0.32,0.25,0.12,0.02,3
49,49,36,3,33,3,30,3,30,3,36.0,3,36,3,21,7,21,8,3,2,7,1,1,0,1,2,1,0,0,0,0,0,0,0.56036246,0.52630764,0.56036246,0.5417684,0.56036246,0.5502994,255907,11687,0.01,0.02,0.1,0.29,0.33,0.21,0.04,3
50,50,7,3,11,3,34,4,34,4,5.0,3,39,4,18,14,8,11,11,1,7,1,1,1,1,2,2,1,0,0,0,0,0,0.42579284,0.44603428,0.49642092,0.48168027,0.48614475,0.44299057,248363,10087,0.01,0.05,0.26,0.34,0.22,0.1,0.02,3
51,51,5,3,2,2,1,2,1,2,7.0,3,1,2,2,6,0,13,19,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,250413,10438,0.01,0.09,0.33,0.33,0.16,0.07,0.01,3
52,52,33,3,29,3,1,2,1,2,25.0,3,2,2,2,6,14,10,4,0,13,1,1,0,1,1,1,0,0,0,0,0,0,0.42805234,0.42303544,0.43089494,0.42119622,0.42805234,0.42859405,251094,10521,0.01,0.08,0.3,0.36,0.18,0.06,0.01,3
53,53,16,3,4,3,6,3,6,3,26.0,4,7,3,17,19,15,4,4,1,3,1,1,0,1,1,1,1,0,0,0,0,0,0.4344419,0.4553151,0.4631398,0.4512561,0.45364088,0.4588719,240137,10577,0.01,0.02,0.17,0.35,0.3,0.13,0.02,3
54,54,1,2,1,2,3,2,13,3,1.0,2,6,3,13,0,18,19,24,0,3,2,2,1,2,2,1,0,0,0,0,0,0,0.42126483,0.42126483,0.42126483,0.4081532,0.42126483,0.41356948,257304,10813,0.01,0.07,0.26,0.31,0.21,0.11,0.02,3
55,55,36,3,19,3,13,3,13,3,36.0,3,4,2,12,13,20,17,13,0,7,1,1,0,1,2,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,240018,10465,0.01,0.08,0.29,0.34,0.19,0.08,0.01,3
56,56,12,2,14,3,10,3,10,3,10.0,3,12,3,0,6,4,0,3,1,10,1,2,0,1,1,1,0,0,0,0,0,0,0.45216036,0.45250362,0.45250362,0.44010282,0.45250362,0.4543023,203730,9396,0.01,0.05,0.2,0.35,0.26,0.12,0.02,3
57,57,37,4,20,3,8,3,8,3,29.0,4,1,2,1,16,8,13,4,0,3,1,1,0,1,2,1,0,0,0,0,0,0,0.4631398,0.46805245,0.46805245,0.4532785,0.4631398,0.4588719,229895,10405,0.01,0.09,0.25,0.29,0.22,0.12,0.03,3
58,58,2,2,10,3,1,2,2,2,1.0,2,4,3,2,10,14,19,7,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.42487174,218595,9911,0.01,0.08,0.33,0.34,0.17,0.07,0.01,3
59,59,15,3,7,3,4,2,4,2,8.0,3,7,3,7,13,0,17,3,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.5011362,0.4588719,218595,9823,0.01,0.09,0.3,0.34,0.19,0.07,0.01,3
60,60,1,2,5,3,11,3,12,2,3.0,3,18,3,18,21,4,4,19,1,3,1,2,1,2,2,2,0,0,0,0,0,0,0.47825786,0.48829192,0.48829192,0.46071857,0.5002791,0.47728172,207473,9767,0.01,0.05,0.18,0.31,0.28,0.15,0.02,3
61,61,12,3,9,2,7,2,22,2,7.0,2,13,3,12,13,13,19,7,0,7,0,1,0,1,1,1,0,0,0,0,0,0,0.50750244,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,201799,9435,0.01,0.05,0.26,0.37,0.22,0.08,0.01,2
62,62,1,2,2,2,9,3,9,3,1.0,2,10,3,11,0,15,18,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.46313983,0.46313983,0.46621624,0.45149443,0.46313983,0.4596588,208884,9960,0.0,0.08,0.31,0.34,0.19,0.07,0.01,3
63,63,5,3,11,3,3,3,3,3,9.0,3,6,3,22,0,19,2,7,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4505232,0.47327513,0.47327513,0.43900624,0.47327513,0.46635103,226349,12400,0.01,0.06,0.14,0.18,0.17,0.24,0.2,3
64,64,7,3,11,3,14,3,5,3,9.0,3,27,3,19,13,3,0,24,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4709376,0.4709376,0.4709376,0.48308122,0.4709376,0.46281356,192049,9353,0.01,0.07,0.29,0.35,0.2,0.07,0.01,2
65,65,4,3,10,3,6,3,10,3,4.0,3,7,3,5,13,2,20,18,0,12,1,1,0,1,1,1,0,0,0,0,0,0,0.51633227,0.49624652,0.49624652,0.44865346,0.51633227,0.48786387,179436,8937,0.01,0.04,0.23,0.36,0.24,0.1,0.01,2
66,66,1,2,5,3,13,4,13,3,1.0,2,18,3,18,11,4,11,19,0,3,2,2,1,2,2,2,0,0,0,0,0,0,0.4631398,0.4631398,0.4591222,0.46071857,0.4631398,0.4588719,185406,9373,0.0,0.05,0.19,0.33,0.28,0.13,0.02,2
67,67,1,2,1,2,3,3,1,2,1.0,2,9,3,19,4,0,18,4,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4581674,0.4581674,0.41567588,0.44526297,0.4581674,0.45431912,202855,10024,0.01,0.16,0.32,0.3,0.16,0.06,0.01,3
68,68,2,2,3,2,1,2,1,2,6.0,3,1,2,2,0,19,4,17,0,7,1,1,0,1,0,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4670873,0.4588719,217856,11234,0.01,0.07,0.19,0.22,0.19,0.18,0.15,3
69,69,32,3,30,3,18,3,18,3,24.0,3,20,3,12,13,21,8,4,0,7,1,1,0,1,1,0,0,0,0,0,0,0,0.500578,0.4954294,0.500578,0.48373464,0.500578,0.49094906,169071,8847,0.01,0.05,0.18,0.3,0.26,0.16,0.03,2
70,70,1,2,3,2,2,2,3,2,1.0,2,10,3,18,0,20,19,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4596588,179830,9304,0.01,0.08,0.31,0.34,0.19,0.06,0.01,2
71,71,3,2,24,3,18,3,18,3,5.0,3,27,3,0,10,11,14,22,1,16,1,1,0,1,1,1,0,0,0,0,0,0,0.44819066,0.4516629,0.4516629,0.43837172,0.4516629,0.44577962,156311,8515,0.0,0.05,0.21,0.32,0.26,0.14,0.03,2
72,72,16,3,1,2,16,3,16,3,24.0,3,5,3,17,4,13,4,22,1,12,1,1,0,1,1,1,0,0,0,0,0,0,0.4344419,0.4631398,0.4344419,0.42814162,0.4631398,0.45147642,154987,8417,0.0,0.04,0.2,0.33,0.27,0.13,0.02,2
73,73,17,2,9,3,8,3,1,2,13.0,3,20,3,19,6,4,8,17,0,9,1,1,0,1,1,1,0,0,0,0,0,0,0.44478652,0.45002076,0.4426648,0.43362793,0.4426648,0.44083157,173636,9200,0.02,0.14,0.36,0.3,0.13,0.04,0.0,2
74,74,7,3,1,2,32,4,32,4,4.0,3,38,4,18,10,14,18,7,1,3,1,1,0,1,1,1,0,0,0,0,0,0,0.44303843,0.4631398,0.46216846,0.44569725,0.44303843,0.45648506,160161,8807,0.0,0.02,0.19,0.36,0.27,0.13,0.02,2
75,75,32,3,19,3,6,3,6,3,24.0,3,7,3,15,19,17,6,4,0,7,1,0,0,1,1,1,0,0,0,0,0,0,0.444536,0.44606248,0.444536,0.43163386,0.444536,0.43841714,156785,8555,0.01,0.04,0.22,0.35,0.26,0.11,0.02,2
76,76,3,2,2,2,1,2,1,2,5.0,2,4,3,2,6,4,18,19,0,5,1,1,0,1,1,1,0,0,0,0,0,0,0.44774792,0.44774792,0.44774792,0.43496746,0.44774792,0.4389229,169066,9318,0.01,0.14,0.35,0.31,0.14,0.05,0.01,2
77,77,7,3,1,2,11,3,13,3,13.0,3,19,3,3,4,15,14,19,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.46071857,0.45711562,0.4588719,150197,8562,0.0,0.05,0.29,0.36,0.2,0.07,0.01,2
78,78,34,4,31,4,17,3,17,3,24.0,3,18,3,4,14,14,23,24,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.5058603,0.5008538,0.45114434,0.43747595,0.4631398,0.4588719,149507,9376,0.0,0.02,0.13,0.31,0.33,0.18,0.03,2
79,79,36,3,33,3,30,3,30,3,36.0,3,13,3,13,23,12,15,7,0,7,2,1,1,2,2,2,0,0,0,0,0,0,0.4631398,0.43203363,0.4631398,0.4512561,0.4631398,0.4588719,165468,9935,0.01,0.02,0.18,0.44,0.26,0.26,0.09,2
80,80,36,3,33,3,30,3,30,3,36.0,3,5,2,5,13,20,13,3,0,13,2,1,1,1,2,1,0,0,0,0,0,0,0.4555035,0.42357397,0.4555035,0.44200283,0.4555035,0.4470048,173696,10613,0.01,0.06,0.17,0.22,0.2,0.21,0.14,2
81,81,4,2,4,3,5,2,5,2,4.0,2,4,2,18,6,0,11,11,1,6,1,1,0,1,1,1,0,0,0,0,0,0,0.46141765,0.46489903,0.46141765,0.44614053,0.46141765,0.45322502,149070,8494,0.0,0.03,0.17,0.3,0.28,0.17,0.04,2
82,82,4,3,4,3,6,3,4,3,1.0,2,24,4,18,18,14,21,4,0,12,1,1,0,1,1,0,0,0,0,0,0,0,0.4631398,0.4631398,0.51599354,0.4512561,0.4631398,0.4588719,158139,9318,0.0,0.05,0.16,0.24,0.27,0.21,0.06,2
83,83,17,3,33,3,30,3,30,3,7.0,3,36,3,11,13,22,11,24,1,10,1,1,1,1,2,1,0,1,0,0,1,0,0.44920304,0.4125238,0.44920304,0.43807217,0.4125238,0.44433078,135219,8469,0.0,0.02,0.09,0.26,0.32,0.24,0.08,2
84,84,1,2,1,2,16,2,23,3,6.0,2,13,3,18,12,14,20,19,0,2,2,2,1,2,2,2,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,144648,8913,0.01,0.04,0.19,0.27,0.26,0.18,0.05,2
85,85,19,3,10,3,2,2,3,2,10.0,3,8,2,19,16,14,15,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4622376,0.48042756,0.47763535,0.4634391,0.48042756,0.47328103,155079,9315,0.01,0.16,0.33,0.28,0.15,0.06,0.01,2
86,86,15,2,3,2,15,2,15,2,24.0,3,20,3,5,4,22,4,17,1,4,1,1,1,1,2,1,0,0,0,0,0,0,0.4344419,0.4344419,0.4344419,0.42814162,0.43235025,0.42679432,124532,7931,0.0,0.02,0.1,0.24,0.32,0.26,0.06,2
