,Unnamed: 0,salet reductions,salet score,reast reductions,reast score,crate reductions,crate score,trace reductions,trace score,slate reductions,slate score,crane reductions,crane score,word1,word2,word3,word4,word5,RepeatN,WordCharacter,salet Topics,reast Topics,crate Topics,trace Topics,slate Topics,crane Topics,salet Description,reast Description,crate Description,trace Description,slate Description,crane Description,salet Attitude,reast Attitude,crate Attitude,trace Attitude,slate Attitude,crane Attitude,Number of reported results,Number in hard mode,1 Try,2 Tries,3 Tries,4 Tries,5 Tries,6 Tries,Above 6 Tries,cluster
87,87,5,3,4,3,6,3,6,3,5.0,3,5,3,18,6,0,22,11,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.46141765,0.4631398,0.46141765,0.44614053,0.46141765,0.45322502,129651,7943,0.0,0.03,0.16,0.31,0.3,0.16,0.03,2
88,88,1,2,11,3,14,3,13,3,5.0,3,5,2,13,0,19,0,11,1,3,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.48396027,0.4588719,121356,7702,0.0,0.02,0.14,0.32,0.32,0.17,0.03,2
89,89,15,3,24,3,5,3,9,3,24.0,3,5,3,2,13,12,12,0,1,7,1,1,1,2,1,2,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,117856,7560,0.0,0.02,0.13,0.33,0.33,0.17,0.03,2
90,90,15,3,13,3,17,3,17,3,24.0,3,13,3,5,13,17,0,24,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719,117761,7575,0.0,0.02,0.14,0.31,0.31,0.19,0.04,2
91,91,8,3,1,2,1,2,1,2,6.0,3,1,2,18,2,0,17,4,0,7,2,1,1,1,2,1,0,0,0,0,0,0,0.39880502,0.42137876,0.42137876,0.4097781,0.39880502,0.41615537,141158,9010,0.01,0.12,0.23,0.26,0.21,0.13,0.04,2
92,92,1,2,1,2,4,3,3,3,1.0,2,6,2,18,18,0,8,17,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,134210,8537,0.02,0.21,0.36,0.26,0.11,0.04,0.01,2
93,93,13,3,4,2,3,2,2,2,3.0,2,3,2,1,10,0,2,10,0,3,2,1,1,1,2,1,0,0,0,0,0,0,0.46847358,0.46524328,0.46524328,0.4482163,0.46524328,0.45520332,126241,7894,0.01,0.1,0.31,0.34,0.18,0.06,0.01,2
94,94,5,3,2,2,18,3,18,3,4.0,3,31,4,18,15,20,0,3,0,7,1,1,0,1,1,1,1,0,0,0,1,1,0.43083972,0.4741044,0.47675592,0.46308172,0.43083972,0.48549607,109828,7236,0.0,0.03,0.2,0.33,0.27,0.14,0.02,2
95,95,12,3,4,3,18,4,18,4,12.0,3,13,3,17,13,24,0,11,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.46313983,0.45058352,0.46313983,0.4512561,0.46313983,0.4588719,114907,7275,0.01,0.05,0.24,0.36,0.23,0.09,0.01,2
96,96,36,3,33,3,9,3,10,3,36.0,3,2,2,2,6,20,13,10,0,7,2,1,0,1,2,1,0,0,0,0,0,0,0.45953566,0.4239851,0.47209066,0.4144953,0.45953566,0.4552788,123255,7835,0.01,0.04,0.29,0.42,0.18,0.05,0.01,2
97,97,36,3,30,3,3,2,3,2,28.0,3,2,2,12,7,13,2,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.46003148,0.4631398,0.4512561,0.4631398,0.4588719,113448,7356,0.0,0.06,0.24,0.35,0.24,0.1,0.01,2
98,98,7,3,4,3,9,4,9,4,5.0,3,11,4,18,6,0,12,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4182854,0.4182854,0.4176439,0.40410143,0.4182854,0.4125822,129991,8522,0.01,0.11,0.22,0.25,0.21,0.15,0.05,2
99,99,16,3,29,3,2,2,4,2,24.0,3,3,2,2,6,4,4,10,1,3,2,2,1,1,2,1,0,0,0,0,0,0,0.42859387,0.4587128,0.46228567,0.44576886,0.46551663,0.4533273,107987,7035,0.0,0.03,0.19,0.4,0.28,0.09,0.01,2
100,100,8,3,14,3,9,3,9,3,2.0,2,10,3,0,11,15,11,4,0,3,2,2,0,1,1,1,0,0,0,0,0,0,0.487043,0.487043,0.48703292,0.4727424,0.48237583,0.4780646,106681,7008,0.0,0.04,0.2,0.35,0.27,0.11,0.02,2
101,101,14,4,7,3,5,3,5,3,4.0,3,7,3,5,10,0,8,17,0,7,2,1,1,1,2,1,0,0,0,0,0,0,0.5279692,0.5173125,0.5173125,0.5012251,0.52126306,0.5089679,112383,7341,0.01,0.08,0.3,0.36,0.18,0.06,0.01,2
102,102,16,3,23,4,16,3,16,3,27.0,4,26,4,5,13,24,4,17,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4344419,0.48569387,0.4344419,0.42814162,0.4631398,0.4588719,108899,8198,0.0,0.02,0.1,0.19,0.19,0.23,0.26,2
103,103,17,3,13,3,2,2,3,2,24.0,3,2,2,2,0,17,6,14,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719,102007,6796,0.0,0.05,0.2,0.34,0.27,0.12,0.02,2
104,104,32,3,29,3,18,3,18,3,24.0,3,20,3,14,22,8,3,4,0,7,2,2,1,2,2,2,0,0,0,0,0,0,0.4631398,0.46003148,0.4631398,0.4512561,0.4631398,0.4588719,97955,6960,0.0,0.02,0.11,0.3,0.33,0.21,0.04,0
105,105,5,3,3,3,2,2,1,2,1.0,2,4,3,15,10,0,13,19,0,7,2,2,1,2,2,2,0,0,0,0,0,0,0.4568463,0.4568463,0.45884025,0.4473264,0.45884025,0.45533726,119232,7731,0.02,0.19,0.39,0.28,0.1,0.03,0.0,2
106,106,7,3,31,4,18,3,18,3,4.0,3,20,3,14,10,8,21,4,0,3,2,2,1,2,2,2,0,0,0,0,0,0,0.4631398,0.4954294,0.4631398,0.4512561,0.4631398,0.4588719,95562,6482,0.01,0.06,0.25,0.34,0.23,0.1,0.01,0
107,107,7,3,4,3,7,2,8,3,12.0,2,4,2,8,12,4,17,19,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4554164,0.4554164,0.45711562,0.43896762,0.45711562,0.45147642,97452,6743,0.0,0.07,0.27,0.34,0.22,0.09,0.01,0
108,108,1,2,2,2,10,3,10,3,1.0,2,12,3,0,17,10,4,22,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.470649,91548,6549,0.0,0.03,0.13,0.29,0.32,0.19,0.04,0
109,109,4,3,1,2,11,3,15,4,6.0,3,18,3,7,4,8,18,19,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4754309,0.48950446,0.4925111,0.47209254,0.4754309,0.48692027,103153,6830,0.01,0.13,0.32,0.31,0.16,0.06,0.01,2
110,110,7,3,10,3,30,3,30,3,7.0,3,15,4,18,6,14,22,13,0,15,1,1,1,1,2,1,0,0,0,0,0,0,0.4927651,0.5026157,0.5026157,0.486352,0.4927651,0.45530313,98967,6564,0.0,0.06,0.26,0.36,0.22,0.08,0.01,0
111,111,3,3,1,2,4,3,13,3,1.0,2,18,3,24,4,18,19,24,0,3,1,1,0,2,1,1,0,0,0,0,0,0,0.43969,0.4631398,0.49221447,0.46071857,0.4631398,0.4588719,88974,6315,0.0,0.02,0.12,0.27,0.3,0.22,0.07,0
112,112,1,2,1,2,4,3,4,3,1.0,2,4,3,19,16,0,18,7,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.41705987,0.41705987,0.39214748,0.38533574,0.41705987,0.4090757,106652,7001,0.02,0.19,0.34,0.27,0.13,0.04,0.01,2
113,113,4,3,13,3,18,4,18,4,12.0,3,14,3,11,0,17,21,0,1,7,2,2,1,2,2,2,0,0,0,0,0,0,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719,77991,5749,0.0,0.02,0.1,0.25,0.35,0.23,0.04,0
114,114,40,4,19,3,13,3,13,3,40.0,4,16,3,5,13,17,6,14,1,16,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,77658,5699,0.0,0.01,0.09,0.26,0.37,0.23,0.03,0
115,115,6,3,1,2,5,2,5,3,9.0,4,16,3,18,18,14,17,24,0,7,1,1,0,1,2,1,0,0,0,0,0,0,0.49802786,0.49085552,0.49085552,0.48256645,0.4865711,0.49106625,95643,6530,0.01,0.1,0.23,0.29,0.24,0.11,0.02,0
116,116,17,3,15,4,17,3,17,3,24.0,3,13,3,7,0,8,17,24,0,7,2,2,1,2,2,2,0,0,0,0,0,0,0.4631398,0.42822188,0.4631398,0.4512561,0.4631398,0.4588719,85817,5941,0.01,0.08,0.24,0.33,0.23,0.1,0.01,0
117,117,7,3,3,3,3,2,3,2,7.0,3,1,2,19,16,0,8,13,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.43586648,0.43586648,0.4378761,0.43012777,0.43586648,0.43593234,107750,7243,0.06,0.26,0.32,0.22,0.1,0.03,0.0,2
118,118,18,3,19,3,21,4,21,4,24.0,3,27,5,7,13,12,4,17,0,7,2,1,1,2,1,1,0,0,0,0,0,0,0.4344419,0.46805245,0.4344419,0.42814162,0.4631398,0.4588719,85979,6313,0.0,0.03,0.16,0.26,0.24,0.19,0.12,0
119,119,4,2,15,3,10,3,10,3,6.0,3,10,3,1,0,3,6,4,0,7,1,2,0,1,1,1,0,0,0,0,0,0,0.471031,0.47378573,0.47669405,0.4621045,0.47378573,0.46944037,76292,5482,0.0,0.04,0.2,0.35,0.26,0.12,0.02,0
120,120,5,3,4,3,17,3,23,3,7.0,3,36,3,12,7,3,18,19,0,7,1,1,1,1,2,1,0,0,0,0,0,0,0.46239886,0.46782315,0.46782315,0.45451942,0.46239886,0.46091256,74458,5233,0.0,0.03,0.25,0.39,0.24,0.09,0.01,0
121,121,17,3,25,3,5,3,10,3,24.0,3,1,2,2,0,13,13,24,1,3,1,1,0,2,1,1,0,0,0,0,0,0,0.488251,0.488251,0.488251,0.47262537,0.488251,0.47732568,72518,5256,0.0,0.02,0.1,0.3,0.34,0.2,0.04,0
122,122,3,2,4,2,18,3,18,3,3.0,2,2,2,18,6,8,13,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.49520612,0.49520612,0.5015339,0.4824364,0.49520612,0.48527274,88932,6146,0.01,0.14,0.32,0.3,0.17,0.06,0.01,0
123,123,32,3,8,3,3,3,5,3,24.0,3,4,3,6,4,2,10,14,0,7,2,2,1,2,2,2,0,0,0,0,0,0,0.4631398,0.4631398,0.4884131,0.44576886,0.4631398,0.4588719,74412,5489,0.0,0.02,0.16,0.38,0.29,0.12,0.02,0
124,124,6,3,11,4,1,2,1,2,6.0,3,1,2,5,0,17,2,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.47824958,0.4875948,0.4709656,0.45746022,0.47156116,0.46339792,79446,5688,0.0,0.09,0.26,0.32,0.21,0.09,0.01,0
125,125,7,3,10,3,30,3,30,3,4.0,3,6,3,18,10,20,13,6,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.44303843,0.4631398,0.4631398,0.4512561,0.44303843,0.4470048,75673,5419,0.0,0.02,0.16,0.37,0.31,0.13,0.02,0
126,126,4,3,1,2,17,3,1,2,7.0,3,36,3,19,7,15,18,24,0,7,1,1,1,1,2,1,0,0,0,0,0,0,0.44165796,0.46313983,0.46313983,0.4512561,0.46222457,0.4588719,77585,5522,0.0,0.06,0.33,0.38,0.17,0.05,0.01,0
127,127,1,2,1,2,6,3,6,3,2.0,2,12,3,12,4,19,0,11,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.45817426,0.45817426,0.470587,0.4584237,0.45817426,0.4620334,73225,5290,0.01,0.1,0.31,0.34,0.18,0.07,0.01,0
128,128,7,3,29,3,17,3,17,3,9.0,3,20,4,23,7,4,11,3,0,7,1,1,1,1,1,1,0,0,0,0,0,0,0.4631398,0.46003148,0.45114434,0.43747595,0.43652797,0.47395357,67115,4963,0.0,0.04,0.16,0.29,0.29,0.18,0.04,0
129,129,1,2,8,3,18,3,18,3,1.0,2,20,3,3,4,11,21,4,1,7,1,1,0,1,1,0,0,0,0,0,0,0,0.473312,0.47640923,0.47640923,0.46392843,0.473312,0.4702949,68349,5179,0.0,0.02,0.14,0.32,0.33,0.16,0.02,0
130,130,32,3,8,3,19,4,19,4,24.0,3,1,2,1,4,8,13,6,0,14,1,1,0,1,1,1,0,0,0,0,0,0,0.44558403,0.44558403,0.4299068,0.416593,0.44558403,0.43363544,70722,5142,0.0,0.04,0.22,0.37,0.26,0.1,0.01,0
131,131,7,3,5,3,3,3,4,3,7.0,3,1,2,18,2,14,20,17,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.4576751,0.4576751,0.4576751,0.44005913,0.4576751,0.4588719,73933,5544,0.0,0.08,0.34,0.35,0.17,0.05,0.01,0
132,132,4,3,3,3,6,3,6,3,3.0,3,5,3,6,10,0,18,18,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.48763022,0.48763022,0.4963966,0.4788562,0.48763022,0.48797873,70920,5162,0.0,0.04,0.19,0.33,0.27,0.14,0.03,0
133,133,5,3,9,3,6,3,6,3,10.0,3,9,3,6,0,12,4,17,0,7,0,1,1,1,1,1,0,0,0,0,0,0,0.4631398,0.4834316,0.4834316,0.46538872,0.4631398,0.47555786,69884,5238,0.01,0.04,0.17,0.28,0.26,0.18,0.06,0
134,134,4,2,4,3,1,2,4,3,3.0,2,1,2,18,2,17,0,15,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.42337185,0.41936177,0.42337185,0.41097322,0.42337185,0.42159098,66814,4973,0.01,0.09,0.28,0.34,0.2,0.08,0.01,0
135,135,17,3,29,3,17,3,17,3,24.0,3,12,3,12,13,13,4,24,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.39367038,0.41487387,0.4061998,0.39443734,0.42226467,0.41599524,67909,4928,0.01,0.07,0.26,0.36,0.21,0.08,0.01,0
136,136,32,3,29,3,18,3,18,3,24.0,3,3,2,7,7,13,6,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.46387133,0.46005705,0.46387133,0.450477,0.46387133,0.4558691,66431,4906,0.0,0.05,0.25,0.37,0.22,0.09,0.02,0
137,137,12,3,25,3,18,3,18,3,5.0,3,28,3,0,10,1,20,12,0,10,3,2,1,2,3,2,0,0,0,0,0,0,0.50637764,0.50637764,0.50637764,0.4911694,0.50637764,0.49667227,63380,4809,0.0,0.05,0.26,0.35,0.24,0.09,0.01,0
138,138,36,3,33,3,6,3,5,3,36.0,3,7,3,21,13,20,2,7,0,3,1,1,0,1,2,1,0,0,0,0,0,0,0.4631398,0.43203363,0.4631398,0.4512561,0.4631398,0.4588719,62723,4835,0.0,0.02,0.09,0.25,0.33,0.24,0.06,0
139,139,1,2,1,2,5,2,5,2,1.0,2,11,2,0,17,18,4,19,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.47968784,0.47968784,0.47968784,0.46583074,0.47968784,0.470649,63188,4733,0.0,0.07,0.28,0.34,0.21,0.08,0.01,0
140,140,7,3,2,2,4,3,1,2,7.0,3,7,3,19,7,0,17,0,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,63846,4842,0.0,0.08,0.36,0.33,0.17,0.06,0.01,0
141,141,6,2,3,2,1,2,1,2,13.0,3,1,2,2,16,4,15,19,0,13,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.45711562,0.4588719,60069,4562,0.0,0.04,0.27,0.38,0.22,0.07,0.01,0
142,142,17,3,24,3,18,3,18,3,24.0,3,27,3,1,0,24,14,20,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,56839,4435,0.0,0.06,0.17,0.33,0.29,0.13,0.02,0
143,143,4,3,11,3,14,3,13,3,5.0,3,27,3,0,18,14,11,11,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.48396027,0.4631398,0.4631398,0.4512561,0.48396027,0.4588719,60969,4741,0.0,0.06,0.28,0.36,0.21,0.08,0.01,0
144,144,17,3,13,3,15,2,15,2,24.0,3,5,3,12,0,13,14,17,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719,62768,4802,0.0,0.06,0.27,0.34,0.21,0.1,0.02,0
145,145,13,3,10,3,1,2,1,2,10.0,3,1,2,2,16,4,0,10,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.45216036,0.4834316,0.4631398,0.4512561,0.4631398,0.4588719,63241,4797,0.0,0.05,0.21,0.32,0.25,0.14,0.03,0
146,146,7,3,10,3,30,3,30,3,7.0,3,37,3,18,6,14,22,24,0,3,1,2,1,2,2,2,0,0,0,0,0,0,0.48431432,0.49383694,0.49383694,0.47775576,0.48431432,0.4838566,61278,4770,0.0,0.02,0.16,0.37,0.3,0.13,0.02,0
147,147,13,3,4,3,1,2,1,2,3.0,3,1,2,15,4,0,2,7,0,7,1,1,1,2,2,1,0,0,0,0,0,0,0.45216036,0.48187557,0.4631398,0.4512561,0.4631398,0.4588719,65431,4957,0.01,0.13,0.38,0.32,0.13,0.03,0.0,0
148,148,12,3,4,2,1,2,1,2,8.0,3,7,3,5,16,14,19,7,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.50750244,0.4631398,0.4631398,0.4512561,0.4631398,0.44039848,58263,4432,0.0,0.05,0.22,0.35,0.25,0.11,0.01,0
149,149,18,3,2,2,3,2,13,3,4.0,3,20,4,3,4,15,19,7,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4788839,0.49221447,0.49221447,0.4907132,0.4971346,0.4935972,56738,4329,0.0,0.06,0.28,0.39,0.2,0.06,0.01,0
150,150,20,4,35,4,31,3,31,3,12.0,3,37,3,6,10,14,14,12,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.44381803,0.3909106,0.46216846,0.44569725,0.45326757,0.45648506,58478,4548,0.0,0.02,0.14,0.35,0.35,0.13,0.01,0
151,151,19,3,33,3,30,3,30,3,12.0,3,36,3,5,10,14,14,3,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.44721,0.41575706,0.44721,0.43560898,0.44370598,0.44369698,58991,4440,0.0,0.03,0.2,0.4,0.28,0.08,0.01,0
152,152,5,3,3,3,4,3,4,3,7.0,3,4,3,19,16,0,8,19,1,7,2,2,0,1,2,2,0,0,0,0,0,0,0.4631398,0.4631398,0.4378761,0.43012777,0.4631398,0.4588719,61026,4607,0.0,0.06,0.22,0.35,0.24,0.11,0.02,0
153,153,12,3,5,3,2,2,5,3,8.0,3,16,3,6,7,17,19,7,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.50750244,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,60020,4665,0.0,0.06,0.23,0.33,0.23,0.12,0.03,0
154,154,18,3,8,3,4,3,13,3,4.0,3,18,3,15,7,4,19,24,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.44478652,0.4631398,0.49221447,0.46071857,0.4631398,0.4588719,55376,4324,0.0,0.04,0.25,0.41,0.22,0.07,0.01,0
155,155,2,2,2,2,18,3,18,3,2.0,2,20,3,6,13,14,18,4,1,16,1,1,0,1,1,1,0,0,0,0,0,0,0.4545921,0.4545921,0.45731455,0.44154364,0.4545921,0.4490705,51958,4087,0.0,0.02,0.12,0.28,0.32,0.21,0.05,1
156,156,5,3,8,3,14,3,13,3,5.0,3,27,3,5,10,14,0,19,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.45180652,0.42510408,0.45180652,0.4394608,0.45180652,0.44713756,56684,4323,0.01,0.12,0.3,0.32,0.18,0.06,0.01,0
157,157,36,3,19,3,13,3,13,3,36.0,3,5,3,3,13,13,14,17,1,7,2,1,0,1,2,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,53802,4142,0.0,0.03,0.27,0.38,0.23,0.07,0.01,0
158,158,3,2,1,2,1,2,4,3,1.0,2,1,2,0,18,14,13,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.46313983,0.46313983,0.46313983,0.4512561,0.46313983,0.4588719,59968,4762,0.02,0.16,0.34,0.29,0.14,0.04,0.01,0
159,159,36,3,19,3,9,3,9,3,36.0,3,7,3,15,16,8,12,14,0,7,1,1,1,2,2,1,0,0,0,0,0,0,0.46313983,0.46313983,0.44883984,0.43619347,0.46313983,0.44039848,55989,4391,0.0,0.03,0.22,0.38,0.25,0.1,0.02,0
160,160,15,3,13,3,16,3,16,3,24.0,3,4,2,0,14,17,14,13,0,16,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719,53430,4112,0.0,0.07,0.3,0.38,0.19,0.05,0.01,0
161,161,20,4,34,3,30,3,30,3,13.0,3,14,3,1,10,14,22,13,0,15,1,1,0,1,1,1,0,0,0,0,0,0,0.40758342,0.3939218,0.4241225,0.41550735,0.4226967,0.42201626,54665,4251,0.0,0.06,0.23,0.35,0.26,0.1,0.01,0
162,162,17,3,24,3,5,3,8,2,24.0,3,4,2,2,0,2,0,14,2,8,1,2,1,2,2,2,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,47205,4101,0.0,0.01,0.09,0.27,0.36,0.23,0.04,1
163,163,1,2,2,2,21,4,21,4,1.0,2,20,3,11,13,18,4,17,0,11,1,1,1,2,2,2,0,0,0,0,0,0,0.43437365,0.43437365,0.39799398,0.39103684,0.43437365,0.4246287,55359,4399,0.01,0.1,0.28,0.32,0.19,0.08,0.02,0
164,164,7,2,8,2,17,3,25,3,11.0,2,12,2,8,12,15,20,19,0,7,1,1,1,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,50484,3950,0.0,0.05,0.3,0.38,0.21,0.06,0.01,1
165,165,5,3,8,3,14,3,13,3,5.0,3,27,3,6,10,14,0,19,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43675643,0.4631398,0.4512561,0.4631398,0.4588719,53342,4194,0.0,0.08,0.21,0.31,0.26,0.12,0.02,0
166,166,12,3,24,3,18,3,18,3,12.0,3,27,3,0,21,5,20,11,0,3,1,1,1,2,1,1,0,0,0,0,0,0,0.4578143,0.4578143,0.4578143,0.44348145,0.4578143,0.44856673,47645,3861,0.0,0.05,0.21,0.33,0.27,0.12,0.02,1
167,167,37,3,20,3,9,3,9,3,37.0,3,4,2,1,16,8,13,10,0,7,1,1,1,2,2,1,0,0,0,0,0,0,0.44169223,0.44169223,0.42242315,0.41137055,0.44169223,0.4368818,53111,4118,0.0,0.04,0.22,0.41,0.24,0.07,0.01,0
168,168,3,2,3,2,2,2,3,2,1.0,2,20,3,18,11,8,19,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,50617,3991,0.0,0.06,0.23,0.35,0.24,0.11,0.02,1
169,169,13,3,4,3,1,2,1,2,2.0,2,2,2,1,4,0,3,24,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.45216036,0.48187557,0.4631398,0.4512561,0.4631398,0.4588719,46089,3670,0.0,0.03,0.19,0.39,0.29,0.1,0.01,1
170,170,3,2,1,2,3,3,5,3,1.0,2,16,3,17,19,18,19,24,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.44165796,0.44165796,0.4371912,0.42643985,0.44165796,0.43456098,50450,3954,0.0,0.09,0.37,0.34,0.13,0.05,0.01,1
171,171,18,3,1,2,8,3,8,3,13.0,3,20,3,17,4,19,17,14,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4681219,0.48195985,0.47879675,0.46523637,0.47879675,0.4781776,47986,3848,0.0,0.06,0.24,0.35,0.24,0.09,0.01,1
172,172,17,3,19,3,9,3,9,3,7.0,3,7,3,3,16,14,11,11,1,7,1,1,1,2,1,1,0,0,0,0,0,0,0.5131376,0.5131376,0.49388635,0.47903904,0.4802499,0.4845652,47312,3844,0.0,0.02,0.16,0.31,0.31,0.17,0.03,1
173,173,18,3,24,3,19,3,19,3,25.0,3,30,3,6,0,22,10,24,0,7,1,1,1,1,1,1,0,0,0,0,0,0,0.48449686,0.48449686,0.48449686,0.47260973,0.48449686,0.47702205,45645,3957,0.0,0.01,0.05,0.22,0.33,0.28,0.1,1
174,174,12,3,10,3,3,2,2,2,12.0,3,7,3,7,19,19,2,7,1,7,0,1,0,1,1,2,0,0,0,0,0,0,0.50750244,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,44212,3758,0.0,0.01,0.12,0.28,0.28,0.21,0.09,1
175,175,12,3,10,3,8,3,23,3,8.0,3,13,3,15,7,13,19,14,0,7,0,1,0,1,1,1,0,0,0,0,0,0,0.50750244,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,47248,3792,0.0,0.05,0.25,0.41,0.22,0.06,0.01,1
176,176,1,2,4,3,8,3,8,3,13.0,3,20,3,4,5,17,4,19,1,3,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.45711562,0.44541085,0.45711562,0.4588719,41765,3515,0.0,0.03,0.14,0.33,0.33,0.15,0.02,1
