,Word,RepeatN,WordCharacter,salet Topics,reast Topics,crate Topics,trace Topics,slate Topics,crane Topics,salet Description,reast Description,crate Description,trace Description,slate Description,crane Description,salet Attitude,reast Attitude,crate Attitude,trace Attitude,slate Attitude,crane Attitude
0,slump,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,sport,0.44303843,0.44141603,0.44141603,0.4299089,0.44303843,0.43624184
1,crank,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.5011362,0.4588719
2,gorge,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46805245,0.4631398,0.4512561,0.4631398,0.4588719
3,query,0,NN,species,agent,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.48569387,0.4344419,0.42814162,0.4631398,0.4588719
4,drink,0,VB,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42349446,0.44999126,0.4488398,0.43619344,0.42349446,0.41658968
5,favor,0,NN,agent,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.440463,0.43897042,0.440463,0.42813227,0.440463,0.43497288
6,abbey,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.470649
7,tangy,0,NN,species,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47820136,0.49898824,0.49898824,0.4777577,0.49898824,0.49070868
8,panic,0,JJ,agent,place,place,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42684838,0.42684838,0.42684838,0.4142214,0.42684838,0.42343962
9,solar,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
10,shire,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49520612,0.43437365,0.4631398,0.4512561,0.49520612,0.4588719
11,proxy,0,NN,species,place,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45702893,0.45702893,0.43649414,0.42214465,0.45702893,0.4332604
12,point,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44603086,0.44603086,0.44603086,0.43526524,0.44603086,0.42907512
13,robot,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.49085552,0.4512561,0.4631398,0.4588719
14,prick,0,JJ,species,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
15,wince,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45522124,0.45032683,0.45581776,0.44034013,0.45522124,0.4502327
16,crimp,0,NN,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
17,knoll,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.4631398,0.4512561,0.43203363,0.4588719
18,sugar,0,NN,species,place,species,place,species,species,sport,entertainment,entertainment,entertainment,entertainment,entertainment,0.39738593,0.4374761,0.4374761,0.42527074,0.39738593,0.4303008
19,whack,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46524328,0.46524328,0.4482163,0.5011362,0.45520332
20,mount,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49335417,0.49335417,0.49335417,0.47982502,0.49335417,0.47578222
21,perky,0,NN,place,place,species,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4344419,0.4344419,0.42814162,0.4631398,0.4588719
22,could,0,MD,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43211174,0.43203363,0.44896305,0.4221148,0.43203363,0.42487174
23,wrung,0,VB,place,place,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.44169223,0.4488398,0.43619344,0.4631398,0.4368818
24,light,0,JJ,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4711496,0.4711496,0.4711496,0.45685515,0.4649974,0.46278685
25,those,0,DT,place,place,place,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43969,0.43969,0.49267116,0.4764501,0.43969,0.43689653
26,moist,0,JJ,place,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46222457,0.4626031,0.4626031,0.4468941,0.46222457,0.45401382
27,shard,0,JJ,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42337185,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
28,pleat,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.47968784,0.46583074,0.4631398,0.470649
29,aloft,0,RB,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43675643,0.4631398,0.4512561,0.4631398,0.4588719
30,skill,1,JJ,agent,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49267536,0.514403,0.514403,0.49836618,0.5050056,0.5116248
31,elder,1,NN,agent,agent,species,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47458103,0.48569384,0.44919956,0.43918574,0.47458103,0.47365552
32,frame,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49872226,0.508008,0.508008,0.49360895,0.48483622,0.48446646
33,humor,0,NN,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.5165299,0.5165299,0.5165299,0.49938706,0.5165299,0.50604177
34,pause,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46621624,0.46739003,0.46621624,0.45149443,0.46621624,0.4596588
35,ulcer,0,JJ,agent,agent,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47458097,0.48569387,0.4631398,0.4512561,0.47458097,0.4588719
36,ultra,0,JJ,place,place,place,place,place,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.5033505,0.48519015,0.48088259,0.47168097,0.48519015,0.4785118
37,robin,0,NN,agent,agent,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.48421344,0.48107642,0.48421344,0.4721058,0.48421344,0.47839105
38,cynic,1,JJ,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45736757,0.42716488,0.47508812,0.4175351,0.45736757,0.4502277
39,aroma,1,NN,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719
40,caulk,0,NNS,place,place,place,species,place,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.488251,0.4631398,0.47262537,0.4631398,0.4588719
41,shake,0,VBP,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.446219,0.446219,0.44571343,0.4324122,0.446219,0.4402334
42,dodge,1,NN,place,place,place,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44173902,0.43501127,0.44173902,0.4297819,0.44173902,0.4372137
43,swill,1,NN,agent,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47403213,0.43145284,0.47790018,0.46368015,0.4705746,0.4442489
44,tacit,1,VBZ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43675643,0.4631398,0.4512561,0.4631398,0.4588719
45,other,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45282704,0.4601522,0.45078394,0.43966407,0.45078394,0.45169723
46,thorn,0,JJ,agent,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.48832333,0.44582775,0.46710804,0.42829993,0.44582775,0.43971315
47,trove,0,IN,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4926703,0.5110807,0.5082122,0.49221838,0.5110807,0.50174797
48,bloke,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46003148,0.4631398,0.4512561,0.4631398,0.4588719
49,vivid,2,NN,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.56036246,0.52630764,0.56036246,0.5417684,0.56036246,0.5502994
50,spill,1,NN,place,place,species,place,species,species,sport,entertainment,entertainment,entertainment,entertainment,entertainment,0.42579284,0.44603428,0.49642092,0.48168027,0.48614475,0.44299057
51,chant,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
52,choke,0,VBD,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42805234,0.42303544,0.43089494,0.42119622,0.42805234,0.42859405
53,rupee,1,JJ,place,place,place,place,place,place,sport,entertainment,entertainment,entertainment,entertainment,entertainment,0.4344419,0.4553151,0.4631398,0.4512561,0.45364088,0.4588719
54,nasty,0,JJ,species,species,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42126483,0.42126483,0.42126483,0.4081532,0.42126483,0.41356948
55,mourn,0,NN,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
56,ahead,1,RB,place,species,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45216036,0.45250362,0.45250362,0.44010282,0.45250362,0.4543023
57,brine,0,JJ,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46805245,0.46805245,0.4532785,0.4631398,0.4588719
58,cloth,0,CC,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.42487174
59,hoard,0,JJ,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.5011362,0.4588719
60,sweet,1,JJ,place,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47825786,0.48829192,0.48829192,0.46071857,0.5002791,0.47728172
61,month,0,NN,agent,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.50750244,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
62,lapse,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46313983,0.46313983,0.46621624,0.45149443,0.46313983,0.4596588
63,watch,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4505232,0.47327513,0.47327513,0.43900624,0.47327513,0.46635103
64,today,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4709376,0.4709376,0.4709376,0.48308122,0.4709376,0.46281356
65,focus,0,VB,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.51633227,0.49624652,0.49624652,0.44865346,0.51633227,0.48786387
66,smelt,0,JJ,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4591222,0.46071857,0.4631398,0.4588719
67,tease,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4581674,0.4581674,0.41567588,0.44526297,0.4581674,0.45431912
68,cater,0,NN,place,place,place,place,agent,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4670873,0.4588719
69,movie,0,NN,place,place,place,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.500578,0.4954294,0.500578,0.48373464,0.500578,0.49094906
70,saute,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4596588
71,allow,1,VBP,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44819066,0.4516629,0.4516629,0.43837172,0.4516629,0.44577962
72,renew,1,VB,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4344419,0.4631398,0.4344419,0.42814162,0.4631398,0.45147642
73,their,0,PRP$,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44478652,0.45002076,0.4426648,0.43362793,0.4426648,0.44083157
74,slosh,1,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44303843,0.4631398,0.46216846,0.44569725,0.44303843,0.45648506
75,purge,0,NN,place,agent,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.444536,0.44606248,0.444536,0.43163386,0.444536,0.43841714
76,chest,0,JJS,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44774792,0.44774792,0.44774792,0.43496746,0.44774792,0.4389229
77,depot,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.46071857,0.45711562,0.4588719
78,epoxy,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.5058603,0.5008538,0.45114434,0.43747595,0.4631398,0.4588719
79,nymph,0,NN,species,place,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.4631398,0.4512561,0.4631398,0.4588719
80,found,0,VBD,species,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4555035,0.42357397,0.4555035,0.44200283,0.4555035,0.4470048
81,shall,1,MD,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46141765,0.46489903,0.46141765,0.44614053,0.46141765,0.45322502
82,stove,0,VB,place,place,place,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.51599354,0.4512561,0.4631398,0.4588719
83,lowly,1,RB,place,place,species,place,species,place,entertainment,sport,entertainment,entertainment,sport,entertainment,0.44920304,0.4125238,0.44920304,0.43807217,0.4125238,0.44433078
84,snout,0,IN,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
85,trope,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4622376,0.48042756,0.47763535,0.4634391,0.48042756,0.47328103
86,fewer,1,JJR,place,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4344419,0.4344419,0.4344419,0.42814162,0.43235025,0.42679432
87,shawl,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46141765,0.4631398,0.46141765,0.44614053,0.46141765,0.45322502
88,natal,1,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.48396027,0.4588719
89,comma,1,NN,place,place,species,species,place,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
90,foray,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719
91,scare,0,NN,species,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.39880502,0.42137876,0.42137876,0.4097781,0.39880502,0.41615537
92,stair,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
93,black,0,JJ,species,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46847358,0.46524328,0.46524328,0.4482163,0.46524328,0.45520332
94,squad,0,NN,place,place,place,place,place,place,sport,entertainment,entertainment,entertainment,sport,sport,0.43083972,0.4741044,0.47675592,0.46308172,0.43083972,0.48549607
95,royal,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46313983,0.45058352,0.46313983,0.4512561,0.46313983,0.4588719
96,chunk,0,NN,species,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45953566,0.4239851,0.47209066,0.4144953,0.45953566,0.4552788
97,mince,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46003148,0.4631398,0.4512561,0.4631398,0.4588719
98,shame,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4182854,0.4182854,0.4176439,0.40410143,0.4182854,0.4125822
99,cheek,1,JJ,species,species,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42859387,0.4587128,0.46228567,0.44576886,0.46551663,0.4533273
100,ample,0,JJ,species,species,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.487043,0.487043,0.48703292,0.4727424,0.48237583,0.4780646
101,flair,0,NN,species,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.5279692,0.5173125,0.5173125,0.5012251,0.52126306,0.5089679
102,foyer,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4344419,0.48569387,0.4344419,0.42814162,0.4631398,0.4588719
103,cargo,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719
104,oxide,0,NN,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46003148,0.4631398,0.4512561,0.4631398,0.4588719
105,plant,0,NN,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4568463,0.4568463,0.45884025,0.4473264,0.45884025,0.45533726
106,olive,0,JJ,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4954294,0.4631398,0.4512561,0.4631398,0.4588719
107,inert,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4554164,0.4554164,0.45711562,0.43896762,0.45711562,0.45147642
108,askew,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.470649
109,heist,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4754309,0.48950446,0.4925111,0.47209254,0.4754309,0.48692027
110,shown,0,VBN,place,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4927651,0.5026157,0.5026157,0.486352,0.4927651,0.45530313
111,zesty,0,JJ,place,place,place,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43969,0.4631398,0.49221447,0.46071857,0.4631398,0.4588719
112,trash,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.41705987,0.41705987,0.39214748,0.38533574,0.41705987,0.4090757
113,larva,1,NN,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719
114,forgo,1,VBP,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
115,story,0,NN,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49802786,0.49085552,0.49085552,0.48256645,0.4865711,0.49106625
116,hairy,0,NN,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.42822188,0.4631398,0.4512561,0.4631398,0.4588719
117,train,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43586648,0.43586648,0.4378761,0.43012777,0.43586648,0.43593234
