,0,level_0,index,Date,Contest number,Word,Number of reported results,Number in hard mode,1 Try,2 Tries,3 Tries,4 Tries,5 Tries,6 Tries,Above 6 Tries,U,L
0,-309.47058,305,306,2022-11-09,508,rainy,1771.0,2678,0.01,0.16,0.38,0.31,0.11,0.03,0.01,9431.561,-10050.503
1,607.6349,306,307,2022-11-10,509,unite,-1517.0,2575,0.01,0.11,0.31,0.33,0.18,0.05,0.01,7024.5996,-5809.3306
2,-491.65878,307,308,2022-11-11,510,medal,-1474.0,2438,0.0,0.05,0.25,0.38,0.23,0.08,0.01,8516.9,-9500.219
3,1472.884,308,309,2022-11-12,511,valet,-1333.0,2356,0.0,0.04,0.22,0.38,0.25,0.09,0.01,10286.883,-7341.115
4,-1886.8582,309,310,2022-11-13,512,inane,425.0,2515,0.0,0.08,0.25,0.3,0.21,0.13,0.03,6422.3687,-10196.086
5,1056.873,310,311,2022-11-14,513,maple,1451.0,2467,0.01,0.06,0.26,0.36,0.21,0.08,0.01,10390.829,-8277.083
6,-561.266,311,312,2022-11-15,514,snarl,939.0,2650,0.0,0.05,0.21,0.31,0.24,0.15,0.04,10481.682,-11604.214
7,-219.38443,312,313,2022-11-16,515,baker,-1899.0,2541,0.0,0.05,0.16,0.23,0.24,0.22,0.1,13924.732,-14363.503
8,-1638.5974,313,314,2022-11-17,516,there,1889.0,2530,0.0,0.14,0.35000000000000003,0.33,0.14,0.04,0.0,6243.769,-9520.965
9,122.950264,314,315,2022-11-18,517,glyph,1743.0,2899,0.0,0.02,0.23,0.49,0.2,0.05,0.01,11358.795,-11112.8955
10,-726.42566,315,316,2022-11-19,518,avert,-4459.0,2400,0.0,0.07,0.26,0.35000000000000003,0.22,0.09,0.01,5643.173,-7096.0244
11,-1869.9058,316,317,2022-11-20,519,brave,242.0,2396,0.01,0.06,0.17,0.27,0.27,0.18,0.05,3319.267,-7059.0786
12,1529.2534,317,318,2022-11-21,520,axiom,-703.0,2382,0.0,0.05,0.19,0.33,0.27,0.13,0.03,7940.567,-4882.0605
13,1419.5662,318,319,2022-11-22,521,prime,3149.0,2534,0.01,0.1,0.26,0.32,0.21,0.09,0.01,9478.507,-6639.375
14,-1800.5708,319,320,2022-11-23,522,drive,-774.0,2451,0.01,0.12,0.32,0.3,0.18,0.06,0.01,4631.9985,-8233.141
15,-1907.4495,320,321,2022-11-24,523,feast,1042.0,2725,0.05,0.13,0.25,0.27,0.19,0.1,0.02,14689.928,-18504.824
16,-138.22105,321,322,2022-11-25,524,itchy,-3508.0,2329,0.0,0.08,0.28,0.4,0.18,0.05,0.01,7914.87,-8191.313
17,91.80248,322,323,2022-11-26,525,clean,2184.0,2424,0.01,0.17,0.36,0.31,0.12,0.03,0.0,5847.574,-5663.9697
18,-1288.5159,323,324,2022-11-27,526,happy,-1175.0,2356,0.0,0.06,0.28,0.39,0.19,0.06,0.01,13975.706,-16552.736
19,-1093.26,324,325,2022-11-28,527,tepid,845.0,2484,0.0,0.1,0.38,0.35000000000000003,0.13,0.03,0.0,17855.262,-20041.78
20,1655.9786,325,326,2022-11-29,528,undue,-2312.0,2316,0.0,0.03,0.19,0.35000000000000003,0.29,0.13,0.02,8030.905,-4718.9473
21,-423.13202,326,327,2022-11-30,529,study,-1170.0,2405,0.0,0.06,0.3,0.33,0.19,0.1,0.02,11875.919,-12722.184
22,2491.3853,327,328,2022-12-01,530,eject,59.0,2200,0.0,0.02,0.11,0.35000000000000003,0.36,0.14,0.02,13293.849,-8311.078
23,-2739.0793,328,329,2022-12-02,531,chafe,2018.0,2343,0.0,0.06,0.3,0.33,0.19,0.09,0.02,3085.9353,-8564.095
24,307.7636,329,330,2022-12-03,532,torso,-773.0,2260,0.0,0.04,0.35000000000000003,0.36,0.17,0.06,0.01,12608.148,-11992.622
25,-298.856,330,331,2022-12-04,533,adore,1704.0,2398,0.02,0.17,0.32,0.29,0.15,0.05,0.01,6230.687,-6828.399
26,310.0956,331,332,2022-12-05,534,woken,-2424.0,2200,0.0,0.02,0.1,0.25,0.36,0.23,0.04,7966.226,-7346.035
27,16.49885,332,333,2022-12-06,535,amber,356.0,2261,0.0,0.06,0.22,0.33,0.24,0.12,0.03,9367.184,-9334.187
28,-769.0228,333,334,2022-12-07,536,joust,1390.0,2388,0.0,0.06,0.29,0.34,0.21,0.08,0.02,4350.2563,-5888.3027
29,-425.93744,334,335,2022-12-08,537,infer,-3700.0,1863,0.0,0.03,0.19,0.33,0.26,0.14,0.03,7220.1035,-8071.978
30,-2788.1604,335,336,2022-12-09,538,braid,2441.0,2165,0.0,0.1,0.36,0.35000000000000003,0.14,0.03,0.0,-414.4036,-5161.9175
31,1512.5659,336,337,2022-12-10,539,knock,-2483.0,2041,0.0,0.03,0.18,0.43,0.27,0.08,0.01,5736.1494,-2711.018
32,353.27832,337,338,2022-12-11,540,naive,790.0,2075,0.01,0.07,0.24,0.32,0.24,0.11,0.01,14576.703,-13870.146
33,-3120.5903,338,339,2022-12-12,541,apply,926.0,2150,0.0,0.05,0.28,0.38,0.22,0.07,0.01,3952.843,-10194.024
34,675.37286,339,340,2022-12-13,542,spoke,1228.0,2224,0.0,0.06,0.31,0.38,0.19,0.05,0.0,10178.375,-8827.63
35,-1195.7097,340,341,2022-12-14,543,usual,-3277.0,2048,0.0,0.03,0.2,0.39,0.27,0.1,0.01,4680.2666,-7071.686
36,-3327.4417,341,342,2022-12-15,544,rival,1352.0,2127,0.0,0.07,0.27,0.35000000000000003,0.22,0.08,0.01,7909.1987,-14564.082
37,893.1283,342,343,2022-12-16,545,probe,677.0,2160,0.0,0.06,0.24,0.32,0.24,0.11,0.03,10107.558,-8321.302
38,479.44705,343,344,2022-12-17,546,chord,-517.0,2088,0.0,0.07,0.39,0.38,0.13,0.03,0.0,8032.54,-7073.646
39,359.97946,344,345,2022-12-18,547,taper,-170.0,2108,0.0,0.08,0.28,0.3,0.2,0.11,0.03,17591.352,-16871.389
40,-2789.8977,345,346,2022-12-19,548,slate,3844.0,2422,0.06,0.14,0.33,0.27,0.13,0.05,0.01,10881.535,-16461.33
41,1079.9147,346,347,2022-12-20,549,third,-1873.0,2261,0.01,0.1,0.47000000000000003,0.32,0.09,0.02,0.0,7948.408,-5788.579
42,248.90227,347,348,2022-12-21,550,lunar,-1957.0,2036,0.0,0.05,0.32,0.4,0.17,0.04,0.0,5157.331,-4659.527
43,1262.3511,348,349,2022-12-22,551,excel,-1690.0,2034,0.0,0.01,0.13,0.34,0.34,0.15,0.02,10512.127,-7987.425
44,-182.15305,349,350,2022-12-23,552,aorta,1447.0,2112,0.0,0.07,0.26,0.35000000000000003,0.2,0.1,0.03,11710.3125,-12074.618
45,-1356.9778,350,351,2022-12-24,553,poise,-1656.0,1911,0.02,0.11,0.34,0.32,0.15,0.06,0.01,2028.8965,-4742.8525
46,2496.0828,351,352,2022-12-25,554,extra,-4727.0,1562,0.01,0.05,0.2,0.35000000000000003,0.28,0.1,0.01,10526.589,-5534.4243
47,-1949.7963,352,353,2022-12-26,555,judge,4457.0,2043,0.0,0.02,0.08,0.16,0.26,0.33,0.14,7029.815,-10929.408
48,-775.97766,353,354,2022-12-27,556,condo,868.0,2012,0.0,0.02,0.17,0.35000000000000003,0.29,0.14,0.03,4571.766,-6123.7217
49,603.16296,354,355,2022-12-28,557,impel,-719.0,1937,0.0,0.03,0.21,0.4,0.25,0.09,0.01,5647.024,-4440.698
50,-4493.359,355,356,2022-12-29,558,havoc,-159.0,1919,0.0,0.02,0.16,0.38,0.3,0.12,0.02,1878.8815,-10865.6
51,-248.22446,356,357,2022-12-30,559,molar,1203.0,1973,0.0,0.04,0.21,0.38,0.26,0.09,0.01,17890.379,-18386.828
52,-166.87868,357,358,2022-12-31,560,manly,-824.0,1899,0.0,0.02,0.17,0.37,0.29,0.12,0.02,7490.486,-7824.244
53,350.24954,358,0,2023-01-01,1,whine,1692.0,2132,0.0,0.04,0.27,0.41000000000000003,0.22,0.06,0.01,7489.8574,-6789.3584
54,37.331398,359,1,2023-01-02,2,skirt,180.0,2094,0.0,0.06,0.31,0.39,0.19,0.05,0.0,4362.927,-4288.2646
55,-333.29825,360,2,2023-01-03,3,antic,-234.0,2072,0.0,0.07,0.32,0.37,0.18,0.05,0.0,14363.479,-15030.075
56,241.66167,361,3,2023-01-04,4,layer,376.0,2207,0.0,0.05,0.18,0.25,0.22,0.19,0.11,4854.82,-4371.497
57,-1052.8677,362,4,2023-01-05,5,sleek,-111.0,2078,0.0,0.03,0.22,0.42,0.25,0.07,0.01,5784.1357,-7889.871
58,324.84085,363,5,2023-01-06,6,belie,-2558.0,1936,0.0,0.01,0.12,0.33,0.33,0.17,0.03,6365.625,-5715.9434
59,435.3162,364,6,2023-01-07,7,lemon,2221.0,2072,0.01,0.08,0.29,0.37,0.19,0.06,0.01,14301.351,-13430.72
60,-429.68488,365,7,2023-01-08,8,opera,-436.0,2054,0.02,0.1,0.29,0.33,0.2,0.06,0.01,2749.5273,-3608.897
61,52.907295,366,8,2023-01-09,9,pixie,-1262.0,2049,0.0,0.02,0.12,0.3,0.34,0.18,0.04,4766.791,-4660.977
62,-376.85562,367,9,2023-01-10,10,grimy,2000.0,2157,0.0,0.02,0.19,0.4,0.28,0.09,0.01,8301.985,-9055.697
63,-1500.1211,368,10,2023-01-11,11,sedan,-54.0,2128,0.0,0.08,0.38,0.35000000000000003,0.14,0.04,0.0,2228.4724,-5228.7144
64,-2014.651,369,11,2023-01-12,12,leapt,412.0,2218,0.0,0.06,0.28,0.35000000000000003,0.22,0.07,0.01,1799.7202,-5829.0225
65,833.99426,370,12,2023-01-13,13,human,-1727.0,2057,0.01,0.05,0.31,0.41000000000000003,0.17,0.04,0.0,7583.185,-5915.1978
66,-1568.3632,371,13,2023-01-14,14,koala,-1337.0,1921,0.0,0.02,0.17,0.38,0.29,0.12,0.02,8360.43,-11497.156
67,1477.0771,372,14,2023-01-15,15,spire,4516.0,2310,0.01,0.15,0.36,0.26,0.14,0.07,0.02,8072.949,-5118.7944
68,-405.17917,373,15,2023-01-16,16,frock,-1911.0,2131,0.0,0.03,0.24,0.37,0.25,0.1,0.01,5593.552,-6403.91
69,731.5913,374,16,2023-01-17,17,adopt,-201.0,2081,0.0,0.09,0.33,0.35000000000000003,0.17,0.05,0.0,10697.679,-9234.497
70,-1170.7723,375,17,2023-01-18,18,chard,829.0,2176,0.0,0.05,0.25,0.37,0.22,0.09,0.02,5836.586,-8178.131
71,223.49998,376,18,2023-01-19,19,mucky,-105.0,2186,0.0,0.01,0.14,0.38,0.29,0.15,0.03,4352.412,-3905.4119
72,-837.3177,377,19,2023-01-20,20,alter,148.0,2158,0.01,0.11,0.3,0.32,0.18,0.07,0.01,13134.602,-14809.237
73,-480.90958,378,20,2023-01-21,21,blurb,-2337.0,1948,0.0,0.01,0.14,0.41000000000000003,0.31,0.11,0.01,4437.831,-5399.6504
74,272.17157,379,21,2023-01-22,22,matey,381.0,1961,0.0,0.02,0.15,0.35000000000000003,0.33,0.14,0.02,10508.986,-9964.644
75,-46.17183,380,22,2023-01-23,23,elude,32.0,1998,0.0,0.02,0.18,0.36,0.21,0.12,0.01,8394.157,-8486.501
76,-806.306,381,23,2023-01-24,24,count,2153.0,2135,0.01,0.08,0.35000000000000003,0.36,0.15,0.04,0.0,10394.006,-12006.618
77,76.63271,382,24,2023-01-25,25,maize,-1894.0,2060,0.0,0.07,0.18,0.27,0.26,0.17,0.04,6893.9756,-6740.711
78,-2277.3892,383,25,2023-01-26,26,beefy,-555.0,1983,0.0,0.01,0.1,0.35000000000000003,0.35000000000000003,0.16,0.03,3757.849,-8312.628
79,-1726.6259,384,26,2023-01-27,27,worry,212.0,1974,0.0,0.03,0.19,0.35000000000000003,0.27,0.14,0.03,5766.172,-9219.424
80,1123.2208,385,27,2023-01-28,28,flirt,1106.0,2036,0.0,0.09,0.39,0.36,0.13,0.03,0.0,17323.602,-15077.158
81,-1620.1241,386,28,2023-01-29,29,fishy,-801.0,2032,0.0,0.04,0.28,0.38,0.21,0.07,0.01,7655.9033,-10896.152
82,1114.0084,387,29,2023-01-30,30,crave,1423.0,2148,0.01,0.07,0.18,0.26,0.24,0.18,0.06,9582.168,-7354.151
83,-356.01352,388,30,2023-01-31,592,scold,-969.0,2039,0.0,0.06,0.36,0.36,0.17,0.05,0.01,10296.98,-11009.008
84,298.17853,389,31,2023-02-01,593,shirk,391.0,2082,0.0,0.05,0.33,0.38,0.18,0.05,0.01,9789.17,-9192.813
85,4.8945856,390,32,2023-02-02,594,tasty,-475.0,2058,0.0,0.07,0.24,0.3,0.23,0.12,0.04,7792.847,-7783.058
86,-77.71708,391,33,2023-02-03,595,unlit,-1202.0,1962,0.0,0.03,0.25,0.4,0.24,0.08,0.01,5263.4224,-5418.857
87,-50.24282,392,34,2023-02-04,596,dance,1395.0,2059,0.01,0.12,0.34,0.34,0.15,0.04,0.0,8503.154,-8603.641
88,-10.233344,393,35,2023-02-05,597,ninth,-1504.0,1949,0.0,0.02,0.18,0.37,0.09,0.13,0.02,5276.7573,-5297.224
89,-1115.6466,394,36,2023-02-06,598,apple,2643.0,2079,0.01,0.14,0.31,0.29,0.18,0.07,0.01,11600.073,-13831.367
90,1900.1614,395,37,2023-02-07,599,flail,-2378.0,2001,0.0,0.02,0.16,0.38,0.3,0.12,0.02,18913.578,-15113.256
91,-1665.7546,396,38,2023-02-08,600,stage,3376.0,2322,0.01,0.09,0.2,0.24,0.22,0.18,0.07,4034.194,-7365.704
92,-513.103,397,39,2023-02-09,601,heady,-2464.0,2003,0.0,0.04,0.24,0.4,0.24,0.07,0.01,7460.5273,-8486.733
93,181.35255,398,40,2023-02-10,602,debug,-2010.0,1926,0.0,0.02,0.16,0.37,0.31,0.13,0.01,4570.993,-4208.288
94,-436.9285,399,41,2023-02-11,603,giant,1585.0,1990,0.01,0.08,0.38,0.36,0.14,0.03,0.0,4779.385,-5653.2427
95,-80.09771,400,42,2023-02-12,604,usage,-866.0,1889,0.0,0.04,0.32,0.39,0.19,0.06,0.01,5861.6626,-6021.8584
96,-1505.8826,401,43,2023-02-13,605,sound,3169.0,2223,0.01,0.13,0.33,0.26,0.14,0.08,0.04,13759.957,-16771.723
97,1816.6428,402,44,2023-02-14,606,salsa,-3121.0,1994,0.0,0.02,0.14,0.34,0.32,0.14,0.02,7305.9917,-3672.7065
98,-778.5414,403,45,2023-02-15,607,magic,448.0,1969,0.01,0.05,0.27,0.4,0.21,0.06,0.01,1707.3794,-3264.462
